종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가
060310,3S,KOSDAQ,중견기업부,2270,-5,-0.22,2255
095570,AJ네트웍스,KOSPI,,4025,-20,-0.49,4045
006840,AK홀딩스,KOSPI,,17780,120,0.68,17640
054620,APS,KOSDAQ,중견기업부,6950,-120,-1.7,7060
265520,AP시스템,KOSDAQ,우량기업부,17360,-10,-0.06,17370
