date,nation,continent,oppenent,o_continent,score,o_score,tournament,result
1993-08-08,Bolivia,South America,Uruguay,South America,3,1,Others,Win
1993-08-08,Uruguay,South America,Bolivia,South America,1,3,Others,Lose
1993-08-08,Mexico,North America,Brazil,South America,1,1,Frendly,Draw
1993-08-08,Brazil,South America,Mexico,North America,1,1,Frendly,Draw
1993-08-08,Ecuador,South America,Venezuela,South America,5,0,Others,Win
1993-08-08,Venezuela,South America,Ecuador,South America,0,5,Others,Lose
1993-08-08,Guinea,Africa,Sierra Leone,Africa,1,0,Frendly,Win
1993-08-08,Sierra Leone,Africa,Guinea,Africa,0,1,Frendly,Lose
1993-08-08,Paraguay,South America,Argentina,South America,1,3,Others,Lose
1993-08-08,Argentina,South America,Paraguay,South America,3,1,Others,Win
1993-08-08,Colombia,South America,Peru,South America,1,0,Others,Win
1993-08-08,Peru,South America,Colombia,South America,0,1,Others,Lose
1993-08-08,Eswatini,Africa,Zimbabwe,Africa,0,2,Frendly,Lose
1993-08-08,Zimbabwe,Africa,Eswatini,Africa,2,0,Frendly,Win
1993-08-09,Sierra Leone,Africa,Guinea,Africa,0,4,Frendly,Lose
1993-08-09,Guinea,Africa,Sierra Leone,Africa,4,0,Frendly,Win
1993-08-11,Norway,Europe,Faroe Islands,Europe,7,0,Frendly,Win
1993-08-11,Faroe Islands,Europe,Norway,Europe,0,7,Frendly,Lose
1993-08-11,Switzerland,Europe,Sweden,Europe,2,1,Frendly,Win
1993-08-11,Sweden,Europe,Switzerland,Europe,1,2,Frendly,Lose
1993-08-15,Canada,North America,Australia,Oceania,1,2,Others,Draw
1993-08-15,Australia,Oceania,Canada,North America,2,1,Others,Draw
1993-08-15,Ecuador,South America,Bolivia,South America,0,1,Others,Lose
1993-08-15,Bolivia,South America,Ecuador,South America,1,0,Others,Win
1993-08-15,Colombia,South America,Argentina,South America,2,1,Others,Win
1993-08-15,Argentina,South America,Colombia,South America,1,2,Others,Lose
1993-08-15,Congo,Africa,Guinea,Africa,0,0,Others,Draw
1993-08-15,Guinea,Africa,Congo,Africa,0,0,Others,Draw
1993-08-15,Uruguay,South America,Brazil,South America,1,1,Others,Draw
1993-08-15,Brazil,South America,Uruguay,South America,1,1,Others,Draw
1993-08-22,Peru,South America,Argentina,South America,1,2,Others,Lose
1993-08-22,Argentina,South America,Peru,South America,2,1,Others,Win
1993-08-22,Bolivia,South America,Venezuela,South America,7,0,Others,Win
1993-08-22,Venezuela,South America,Bolivia,South America,0,7,Others,Lose
1993-08-22,Brazil,South America,Ecuador,South America,2,0,Others,Win
1993-08-22,Ecuador,South America,Brazil,South America,0,2,Others,Lose
1993-08-22,Paraguay,South America,Colombia,South America,1,1,Others,Draw
1993-08-22,Colombia,South America,Paraguay,South America,1,1,Others,Draw
1993-08-22,Sweden,Europe,France,Europe,1,1,Others,Draw
1993-08-22,France,Europe,Sweden,Europe,1,1,Others,Draw
1993-08-25,Austria,Europe,Finland,Europe,3,0,Others,Win
1993-08-25,Finland,Europe,Austria,Europe,0,3,Others,Lose
1993-08-25,Lithuania,Europe,Denmark,Europe,0,4,Others,Lose
1993-08-25,Denmark,Europe,Lithuania,Europe,4,0,Others,Win
1993-08-29,Argentina,South America,Paraguay,South America,0,0,Others,Draw
1993-08-29,Paraguay,South America,Argentina,South America,0,0,Others,Draw
1993-08-29,Bolivia,South America,Brazil,South America,0,6,Others,Lose
1993-08-29,Brazil,South America,Bolivia,South America,6,0,Others,Win
1993-08-29,Colombia,South America,Peru,South America,4,0,Others,Win
1993-08-29,Peru,South America,Colombia,South America,0,4,Others,Lose
1993-08-29,Uruguay,South America,Venezuela,South America,4,0,Others,Win
1993-08-29,Venezuela,South America,Uruguay,South America,0,4,Others,Lose
1993-08-31,Iceland,Europe,USA,North America,0,1,Frendly,Lose
1993-08-31,USA,North America,Iceland,Europe,1,0,Frendly,Win
1993-09-05,Colombia,South America,Argentina,South America,5,0,Others,Win
1993-09-05,Argentina,South America,Colombia,South America,0,5,Others,Lose
1993-09-05,Venezuela,South America,Brazil,South America,0,4,Others,Lose
1993-09-05,Brazil,South America,Venezuela,South America,4,0,Others,Win
1993-09-05,Ecuador,South America,Uruguay,South America,0,1,Others,Lose
1993-09-05,Uruguay,South America,Ecuador,South America,1,0,Others,Win
1993-09-05,Portugal,Europe,Estonia,Europe,2,0,Others,Win
1993-09-05,Estonia,Europe,Portugal,Europe,0,2,Others,Lose
1993-09-05,Paraguay,South America,Peru,South America,2,2,Others,Draw
1993-09-05,Peru,South America,Paraguay,South America,2,2,Others,Draw
1993-09-06,Eswatini,Africa,Zimbabwe,Africa,0,1,Frendly,Lose
1993-09-06,Zimbabwe,Africa,Eswatini,Africa,1,0,Frendly,Win
1993-09-08,Denmark,Europe,Albania,Europe,1,0,Others,Win
1993-09-08,Albania,Europe,Denmark,Europe,0,1,Others,Lose
1993-09-08,Sweden,Europe,Bulgaria,Europe,1,1,Others,Draw
1993-09-08,Bulgaria,Europe,Sweden,Europe,1,1,Others,Draw
1993-09-08,Poland,Europe,England,Europe,0,3,Others,Lose
1993-09-08,England,Europe,Poland,Europe,3,0,Others,Win
1993-09-08,Romania,Europe,Faroe Islands,Europe,4,0,Others,Win
1993-09-08,Faroe Islands,Europe,Romania,Europe,0,4,Others,Lose
1993-09-08,France,Europe,Finland,Europe,2,0,Others,Win
1993-09-08,Finland,Europe,France,Europe,0,2,Others,Lose
1993-09-08,Hungary,Europe,Russia,Europe,1,3,Others,Lose
1993-09-08,Russia,Europe,Hungary,Europe,3,1,Others,Win
1993-09-08,Luxembourg,Europe,Iceland,Europe,0,1,Others,Lose
1993-09-08,Iceland,Europe,Luxembourg,Europe,1,0,Others,Win
1993-09-08,Lithuania,Europe,Republic of Ireland,Europe,0,2,Others,Lose
1993-09-08,Republic of Ireland,Europe,Lithuania,Europe,2,0,Others,Win
1993-09-08,Northern Ireland,Europe,Latvia,Europe,2,0,Others,Win
1993-09-08,Latvia,Europe,Northern Ireland,Europe,0,2,Others,Lose
1993-09-08,Norway,Europe,USA,North America,1,0,Frendly,Win
1993-09-08,USA,North America,Norway,Europe,0,1,Frendly,Lose
1993-09-08,Scotland,Europe,Switzerland,Europe,1,1,Others,Draw
1993-09-08,Switzerland,Europe,Scotland,Europe,1,1,Others,Draw
1993-09-08,Spain,Europe,Chile,South America,2,0,Frendly,Win
1993-09-08,Chile,South America,Spain,Europe,0,2,Frendly,Lose
1993-09-12,Uruguay,South America,Bolivia,South America,2,1,Others,Win
1993-09-12,Bolivia,South America,Uruguay,South America,1,2,Others,Lose
1993-09-12,Venezuela,South America,Ecuador,South America,2,1,Others,Win
1993-09-12,Ecuador,South America,Venezuela,South America,1,2,Others,Lose
1993-09-15,Mali,Africa,Morocco,Africa,0,3,Frendly,Lose
1993-09-15,Morocco,Africa,Mali,Africa,3,0,Frendly,Win
1993-09-17,Thailand,Asia,Saudi Arabia,Asia,0,4,Frendly,Lose
1993-09-17,Saudi Arabia,Asia,Thailand,Asia,4,0,Frendly,Win
1993-09-19,Uruguay,South America,Brazil,South America,0,2,Others,Lose
1993-09-19,Brazil,South America,Uruguay,South America,2,0,Others,Win
1993-09-19,Bolivia,South America,Ecuador,South America,1,1,Others,Draw
1993-09-19,Ecuador,South America,Bolivia,South America,1,1,Others,Draw
1993-09-19,Zimbabwe,Africa,Senegal,Africa,2,0,Frendly,Win
1993-09-19,Senegal,Africa,Zimbabwe,Africa,0,2,Frendly,Lose
1993-09-20,Thailand,Asia,Saudi Arabia,Asia,0,3,Frendly,Lose
1993-09-20,Saudi Arabia,Asia,Thailand,Asia,3,0,Frendly,Win
1993-09-22,Albania,Europe,Spain,Europe,1,5,Others,Lose
1993-09-22,Spain,Europe,Albania,Europe,5,1,Others,Win
1993-09-22,Estonia,Europe,Italy,Europe,0,3,Others,Lose
1993-09-22,Italy,Europe,Estonia,Europe,3,0,Others,Win
1993-09-22,Mexico,North America,Cameroon,Africa,1,0,Frendly,Win
1993-09-22,Cameroon,Africa,Mexico,North America,0,1,Frendly,Lose
1993-09-22,Poland,Europe,Norway,Europe,0,1,Others,Lose
1993-09-22,Norway,Europe,Poland,Europe,1,0,Others,Win
1993-09-22,Romania,Europe,Israel,Europe,1,0,Frendly,Win
1993-09-22,Israel,Europe,Romania,Europe,0,1,Frendly,Lose
1993-09-22,San Marino,Europe,Netherlands,Europe,0,7,Others,Lose
1993-09-22,Netherlands,Europe,San Marino,Europe,7,0,Others,Win
1993-09-22,Tunisia,Africa,Germany,Europe,1,1,Frendly,Draw
1993-09-22,Germany,Europe,Tunisia,Africa,1,1,Frendly,Draw
1993-09-23,Costa Rica,North America,Saudi Arabia,Asia,2,1,Frendly,Win
1993-09-23,Saudi Arabia,Asia,Costa Rica,North America,1,2,Frendly,Lose
1993-09-24,Australia,Oceania,Korea,Asia,1,1,Frendly,Draw
1993-09-24,Korea,Asia,Australia,Oceania,1,1,Frendly,Draw
1993-09-25,Côte d'Ivoire,Africa,Nigeria,Africa,1,4,Others,Lose
1993-09-25,Nigeria,Africa,Côte d'Ivoire,Africa,4,1,Others,Win
1993-09-26,Australia,Oceania,Korea,Asia,0,1,Frendly,Lose
1993-09-26,Korea,Asia,Australia,Oceania,1,0,Frendly,Win
1993-09-26,Senegal,Africa,Zambia,Africa,0,4,Others,Lose
1993-09-26,Zambia,Africa,Senegal,Africa,4,0,Others,Win
1993-09-26,Zimbabwe,Africa,Guinea,Africa,1,0,Others,Win
1993-09-26,Guinea,Africa,Zimbabwe,Africa,0,1,Others,Lose
1993-09-27,Saudi Arabia,Asia,Costa Rica,North America,3,2,Frendly,Win
1993-09-27,Costa Rica,North America,Saudi Arabia,Asia,2,3,Frendly,Lose
1993-09-29,Mexico,North America,Poland,Europe,0,0,Frendly,Draw
1993-09-29,Poland,Europe,Mexico,North America,0,0,Frendly,Draw
1993-10-01,Morocco,Africa,Gabon,Africa,1,0,Frendly,Win
1993-10-01,Gabon,Africa,Morocco,Africa,0,1,Frendly,Lose
1993-10-04,Japan,Asia,Côte d'Ivoire,Africa,1,0,Frendly,Win
1993-10-04,Côte d'Ivoire,Africa,Japan,Asia,0,1,Frendly,Lose
1993-10-05,Cyprus,Europe,Israel,Europe,2,2,Frendly,Draw
1993-10-05,Israel,Europe,Cyprus,Europe,2,2,Frendly,Draw
1993-10-06,Belgium,Europe,Gabon,Africa,2,1,Frendly,Win
1993-10-06,Gabon,Africa,Belgium,Europe,1,2,Frendly,Lose
1993-10-06,Mexico,North America,South Africa,Africa,4,0,Frendly,Win
1993-10-06,South Africa,Africa,Mexico,North America,0,4,Frendly,Lose
1993-10-06,Russia,Europe,Saudi Arabia,Asia,2,4,Frendly,Lose
1993-10-06,Saudi Arabia,Asia,Russia,Europe,4,2,Frendly,Win
1993-10-08,Algeria,Africa,Nigeria,Africa,1,1,Others,Draw
1993-10-08,Nigeria,Africa,Algeria,Africa,1,1,Others,Draw
1993-10-10,Cameroon,Africa,Zimbabwe,Africa,3,1,Others,Win
1993-10-10,Zimbabwe,Africa,Cameroon,Africa,1,3,Others,Lose
1993-10-10,Zambia,Africa,Morocco,Africa,0,1,Others,Lose
1993-10-10,Morocco,Africa,Zambia,Africa,1,0,Others,Win
1993-10-12,Luxembourg,Europe,Greece,Europe,1,3,Others,Lose
1993-10-12,Greece,Europe,Luxembourg,Europe,3,1,Others,Win
1993-10-13,Bulgaria,Europe,Austria,Europe,4,1,Others,Win
1993-10-13,Austria,Europe,Bulgaria,Europe,1,4,Others,Lose
1993-10-13,Denmark,Europe,Northern Ireland,Europe,1,0,Others,Win
1993-10-13,Northern Ireland,Europe,Denmark,Europe,0,1,Others,Lose
1993-10-13,France,Europe,Israel,Europe,2,3,Others,Lose
1993-10-13,Israel,Europe,France,Europe,3,2,Others,Win
1993-10-13,Germany,Europe,Uruguay,South America,5,0,Frendly,Win
1993-10-13,Uruguay,South America,Germany,Europe,0,5,Frendly,Lose
1993-10-13,Spain,Europe,Republic of Ireland,Europe,3,1,Others,Win
1993-10-13,Republic of Ireland,Europe,Spain,Europe,1,3,Others,Lose
1993-10-13,Italy,Europe,Scotland,Europe,3,1,Others,Win
1993-10-13,Scotland,Europe,Italy,Europe,1,3,Others,Lose
1993-10-13,Netherlands,Europe,England,Europe,2,0,Others,Win
1993-10-13,England,Europe,Netherlands,Europe,0,2,Others,Lose
1993-10-13,Poland,Europe,Norway,Europe,0,3,Others,Lose
1993-10-13,Norway,Europe,Poland,Europe,3,0,Others,Win
1993-10-13,Switzerland,Europe,Portugal,Europe,0,1,Others,Lose
1993-10-13,Portugal,Europe,Switzerland,Europe,1,0,Others,Win
1993-10-13,Romania,Europe,Belgium,Europe,2,1,Others,Win
1993-10-13,Belgium,Europe,Romania,Europe,1,2,Others,Lose
1993-10-13,Sweden,Europe,Finland,Europe,3,2,Others,Win
1993-10-13,Finland,Europe,Sweden,Europe,2,3,Others,Lose
1993-10-13,USA,North America,Mexico,North America,1,1,Frendly,Draw
1993-10-13,Mexico,North America,USA,North America,1,1,Frendly,Draw
1993-10-13,Wales,Europe,Cyprus,Europe,2,0,Others,Win
1993-10-13,Cyprus,Europe,Wales,Europe,0,2,Others,Lose
1993-10-15,Iraq,Asia,Korea DPR,Asia,2,3,Others,Lose
1993-10-15,Korea DPR,Asia,Iraq,Asia,3,2,Others,Win
1993-10-15,Japan,Asia,Saudi Arabia,Asia,0,0,Others,Draw
1993-10-15,Saudi Arabia,Asia,Japan,Asia,0,0,Others,Draw
1993-10-16,IR Iran,Asia,Korea,Asia,0,3,Others,Lose
1993-10-16,Korea,Asia,IR Iran,Asia,3,0,Others,Win
1993-10-16,Ukraine,Europe,USA,North America,2,1,Frendly,Win
1993-10-16,USA,North America,Ukraine,Europe,1,2,Frendly,Lose
1993-10-17,Iceland,Europe,Tunisia,Africa,1,3,Frendly,Lose
1993-10-17,Tunisia,Africa,Iceland,Europe,3,1,Frendly,Win
1993-10-18,Japan,Asia,IR Iran,Asia,1,2,Others,Lose
1993-10-18,IR Iran,Asia,Japan,Asia,2,1,Others,Win
1993-10-18,Korea DPR,Asia,Saudi Arabia,Asia,1,2,Others,Lose
1993-10-18,Saudi Arabia,Asia,Korea DPR,Asia,2,1,Others,Win
1993-10-19,Korea,Asia,Iraq,Asia,2,2,Others,Draw
1993-10-19,Iraq,Asia,Korea,Asia,2,2,Others,Draw
1993-10-20,Ukraine,Europe,Mexico,North America,1,2,Frendly,Lose
1993-10-20,Mexico,North America,Ukraine,Europe,2,1,Frendly,Win
1993-10-21,Korea DPR,Asia,Japan,Asia,0,3,Others,Lose
1993-10-21,Japan,Asia,Korea DPR,Asia,3,0,Others,Win
1993-10-22,IR Iran,Asia,Iraq,Asia,1,2,Others,Lose
1993-10-22,Iraq,Asia,IR Iran,Asia,2,1,Others,Win
1993-10-22,Saudi Arabia,Asia,Korea,Asia,1,1,Others,Draw
1993-10-22,Korea,Asia,Saudi Arabia,Asia,1,1,Others,Draw
1993-10-23,USA,North America,Ukraine,Europe,0,1,Frendly,Lose
1993-10-23,Ukraine,Europe,USA,North America,1,0,Frendly,Win
1993-10-24,Guinea,Africa,Burundi,Africa,0,0,Others,Draw
1993-10-24,Burundi,Africa,Guinea,Africa,0,0,Others,Draw
1993-10-24,Saudi Arabia,Asia,Iraq,Asia,1,1,Others,Draw
1993-10-24,Iraq,Asia,Saudi Arabia,Asia,1,1,Others,Draw
1993-10-25,Korea DPR,Asia,IR Iran,Asia,1,2,Others,Lose
1993-10-25,IR Iran,Asia,Korea DPR,Asia,2,1,Others,Win
1993-10-25,Korea,Asia,Japan,Asia,0,1,Others,Lose
1993-10-25,Japan,Asia,Korea,Asia,1,0,Others,Win
1993-10-26,Estonia,Europe,Liechtenstein,Europe,2,0,Frendly,Win
1993-10-26,Liechtenstein,Europe,Estonia,Europe,0,2,Frendly,Lose
1993-10-26,United Arab Emirates,Asia,Jordan,Asia,2,1,Frendly,Win
1993-10-26,Jordan,Asia,United Arab Emirates,Asia,1,2,Frendly,Lose
1993-10-27,Luxembourg,Europe,Hungary,Europe,0,1,Others,Lose
1993-10-27,Hungary,Europe,Luxembourg,Europe,1,0,Others,Win
1993-10-27,Israel,Europe,Austria,Europe,1,1,Others,Draw
1993-10-27,Austria,Europe,Israel,Europe,1,1,Others,Draw
1993-10-27,Poland,Europe,Turkey,Europe,1,2,Others,Lose
1993-10-27,Turkey,Europe,Poland,Europe,2,1,Others,Win
1993-10-28,Japan,Asia,Iraq,Asia,2,2,Others,Draw
1993-10-28,Iraq,Asia,Japan,Asia,2,2,Others,Draw
1993-10-28,Korea DPR,Asia,Korea,Asia,0,3,Others,Lose
1993-10-28,Korea,Asia,Korea DPR,Asia,3,0,Others,Win
1993-10-28,IR Iran,Asia,Saudi Arabia,Asia,3,4,Others,Lose
1993-10-28,Saudi Arabia,Asia,IR Iran,Asia,4,3,Others,Win
1993-10-28,Jordan,Asia,United Arab Emirates,Asia,2,0,Frendly,Win
1993-10-28,United Arab Emirates,Asia,Jordan,Asia,0,2,Frendly,Lose
1993-10-31,Argentina,South America,Australia,Oceania,1,1,Others,Draw
1993-10-31,Australia,Oceania,Argentina,South America,1,1,Others,Draw
1993-11-03,Mexico,North America,China PR,Asia,3,0,Frendly,Win
1993-11-03,China PR,Asia,Mexico,North America,0,3,Frendly,Lose
1993-11-05,Egypt,Africa,Malta,Europe,3,0,Frendly,Win
1993-11-05,Malta,Europe,Egypt,Africa,0,3,Frendly,Lose
1993-11-05,Tunisia,Africa,Gabon,Africa,4,0,Frendly,Win
1993-11-05,Gabon,Africa,Tunisia,Africa,0,4,Frendly,Lose
1993-11-07,Gabon,Africa,Malta,Europe,1,2,Frendly,Lose
1993-11-07,Malta,Europe,Gabon,Africa,2,1,Frendly,Win
1993-11-07,Tunisia,Africa,Egypt,Africa,2,1,Frendly,Win
1993-11-07,Egypt,Africa,Tunisia,Africa,1,2,Frendly,Lose
1993-11-07,USA,North America,Jamaica,North America,1,0,Frendly,Win
1993-11-07,Jamaica,North America,USA,North America,0,1,Frendly,Lose
1993-11-10,Austria,Europe,Sweden,Europe,1,1,Others,Draw
1993-11-10,Sweden,Europe,Austria,Europe,1,1,Others,Draw
1993-11-10,Israel,Europe,Finland,Europe,1,3,Others,Lose
1993-11-10,Finland,Europe,Israel,Europe,3,1,Others,Win
1993-11-10,Portugal,Europe,Estonia,Europe,3,0,Others,Win
1993-11-10,Estonia,Europe,Portugal,Europe,0,3,Others,Lose
1993-11-10,Norway,Europe,Turkey,Europe,1,2,Others,Lose
1993-11-10,Turkey,Europe,Norway,Europe,2,1,Others,Win
1993-11-14,USA,North America,Cayman Islands,North America,8,1,Frendly,Win
1993-11-14,Cayman Islands,North America,USA,North America,1,8,Frendly,Lose
1993-11-17,Argentina,South America,Australia,Oceania,1,0,Others,Win
1993-11-17,Australia,Oceania,Argentina,South America,0,1,Others,Lose
1993-11-17,France,Europe,Bulgaria,Europe,1,2,Others,Lose
1993-11-17,Bulgaria,Europe,France,Europe,2,1,Others,Win
1993-11-17,Germany,Europe,Brazil,South America,2,1,Frendly,Win
1993-11-17,Brazil,South America,Germany,Europe,1,2,Frendly,Lose
1993-11-17,Greece,Europe,Russia,Europe,1,0,Others,Win
1993-11-17,Russia,Europe,Greece,Europe,0,1,Others,Lose
1993-11-17,Italy,Europe,Portugal,Europe,1,0,Others,Win
1993-11-17,Portugal,Europe,Italy,Europe,0,1,Others,Lose
1993-11-17,Malta,Europe,Scotland,Europe,0,2,Others,Lose
1993-11-17,Scotland,Europe,Malta,Europe,2,0,Others,Win
1993-11-17,Northern Ireland,Europe,Republic of Ireland,Europe,1,1,Others,Draw
1993-11-17,Republic of Ireland,Europe,Northern Ireland,Europe,1,1,Others,Draw
1993-11-17,Netherlands,Europe,Poland,Europe,3,1,Others,Win
1993-11-17,Poland,Europe,Netherlands,Europe,1,3,Others,Lose
1993-11-17,San Marino,Europe,England,Europe,1,7,Others,Lose
1993-11-17,England,Europe,San Marino,Europe,7,1,Others,Win
1993-11-17,Spain,Europe,Denmark,Europe,1,0,Others,Win
1993-11-17,Denmark,Europe,Spain,Europe,0,1,Others,Lose
1993-11-17,Switzerland,Europe,Estonia,Europe,4,0,Others,Win
1993-11-17,Estonia,Europe,Switzerland,Europe,0,4,Others,Lose
1993-11-17,Wales,Europe,Romania,Europe,1,2,Others,Lose
1993-11-17,Romania,Europe,Wales,Europe,2,1,Others,Win
1993-11-22,Gambia,Africa,Mauritania,Africa,2,4,Frendly,Lose
1993-11-22,Mauritania,Africa,Gambia,Africa,4,2,Frendly,Win
1993-11-26,Gambia,Africa,Ghana,Africa,3,0,Frendly,Win
1993-11-26,Ghana,Africa,Gambia,Africa,0,3,Frendly,Lose
1993-11-26,Sierra Leone,Africa,Guinea,Africa,1,1,Others,Draw
1993-11-26,Guinea,Africa,Sierra Leone,Africa,1,1,Others,Draw
1993-11-27,Mauritania,Africa,Guinea-Bissau,Africa,0,1,Others,Lose
1993-11-27,Guinea-Bissau,Africa,Mauritania,Africa,1,0,Others,Win
1993-11-27,Mali,Africa,Senegal,Africa,1,0,Others,Win
1993-11-27,Senegal,Africa,Mali,Africa,0,1,Others,Lose
1993-11-28,Gambia,Africa,Guinea,Africa,2,1,Others,Win
1993-11-28,Guinea,Africa,Gambia,Africa,1,2,Others,Lose
1993-11-28,Ghana,Africa,Sierra Leone,Africa,3,2,Frendly,Win
1993-11-28,Sierra Leone,Africa,Ghana,Africa,2,3,Frendly,Lose
1993-11-29,Mali,Africa,Guinea-Bissau,Africa,3,0,Others,Win
1993-11-29,Guinea-Bissau,Africa,Mali,Africa,0,3,Others,Lose
1993-11-29,Senegal,Africa,Mauritania,Africa,4,0,Others,Win
1993-11-29,Mauritania,Africa,Senegal,Africa,0,4,Others,Lose
1993-11-30,Guinea,Africa,Ghana,Africa,0,1,Frendly,Lose
1993-11-30,Ghana,Africa,Guinea,Africa,1,0,Frendly,Win
1993-11-30,Gambia,Africa,Sierra Leone,Africa,1,1,Others,Draw
1993-11-30,Sierra Leone,Africa,Gambia,Africa,1,1,Others,Draw
1993-11-30,Fiji,Oceania,Tahiti,Oceania,0,3,Frendly,Lose
1993-11-30,Tahiti,Oceania,Fiji,Oceania,3,0,Frendly,Win
1993-12-01,Uganda,Africa,Kenya,Africa,1,2,Frendly,Lose
1993-12-01,Kenya,Africa,Uganda,Africa,2,1,Frendly,Win
1993-12-01,Mali,Africa,Mauritania,Africa,0,0,Others,Draw
1993-12-01,Mauritania,Africa,Mali,Africa,0,0,Others,Draw
1993-12-01,Senegal,Africa,Guinea-Bissau,Africa,0,0,Others,Draw
1993-12-01,Guinea-Bissau,Africa,Senegal,Africa,0,0,Others,Draw
1993-12-03,Gambia,Africa,Senegal,Africa,0,2,Others,Lose
1993-12-03,Senegal,Africa,Gambia,Africa,2,0,Others,Win
1993-12-03,Mali,Africa,Sierra Leone,Africa,0,2,Others,Lose
1993-12-03,Sierra Leone,Africa,Mali,Africa,2,0,Others,Win
1993-12-05,Mali,Africa,Gambia,Africa,0,2,Others,Lose
1993-12-05,Gambia,Africa,Mali,Africa,2,0,Others,Win
1993-12-05,Senegal,Africa,Sierra Leone,Africa,0,2,Others,Lose
1993-12-05,Sierra Leone,Africa,Senegal,Africa,2,0,Others,Win
1993-12-05,USA,North America,El Salvador,North America,7,0,Frendly,Win
1993-12-05,El Salvador,North America,USA,North America,0,7,Frendly,Lose
1993-12-06,Uganda,Africa,Tanzania,Africa,0,1,Frendly,Lose
1993-12-06,Tanzania,Africa,Uganda,Africa,1,0,Frendly,Win
1993-12-10,Bangladesh,Asia,Myanmar,Asia,3,1,Frendly,Win
1993-12-10,Myanmar,Asia,Bangladesh,Asia,1,3,Frendly,Lose
1993-12-10,Kenya,Africa,Tanzania,Africa,2,1,Frendly,Win
1993-12-10,Tanzania,Africa,Kenya,Africa,1,2,Frendly,Lose
1993-12-15,Argentina,South America,Germany,Europe,2,1,Frendly,Win
1993-12-15,Germany,Europe,Argentina,South America,1,2,Frendly,Lose
1993-12-16,Mexico,North America,Brazil,South America,0,1,Frendly,Lose
1993-12-16,Brazil,South America,Mexico,North America,1,0,Frendly,Win
1993-12-18,Germany,Europe,USA,North America,3,0,Frendly,Win
1993-12-18,USA,North America,Germany,Europe,0,3,Frendly,Lose
1993-12-19,Côte d'Ivoire,Africa,Mali,Africa,1,0,Frendly,Win
1993-12-19,Mali,Africa,Côte d'Ivoire,Africa,0,1,Frendly,Lose
1993-12-22,Germany,Europe,Mexico,North America,0,0,Frendly,Draw
1993-12-22,Mexico,North America,Germany,Europe,0,0,Frendly,Draw
1993-12-29,Egypt,Africa,Ghana,Africa,0,0,Frendly,Draw
1993-12-29,Ghana,Africa,Egypt,Africa,0,0,Frendly,Draw
1993-12-31,Ghana,Africa,Tunisia,Africa,1,1,Frendly,Draw
1993-12-31,Tunisia,Africa,Ghana,Africa,1,1,Frendly,Draw
1994-01-02,Barbados,North America,Grenada,North America,0,0,Frendly,Draw
1994-01-02,Grenada,North America,Barbados,North America,0,0,Frendly,Draw
1994-01-02,Egypt,Africa,Ghana,Africa,1,2,Frendly,Lose
1994-01-02,Ghana,Africa,Egypt,Africa,2,1,Frendly,Win
1994-01-05,Mali,Africa,Burkina Faso,Africa,1,1,Frendly,Draw
1994-01-05,Burkina Faso,Africa,Mali,Africa,1,1,Frendly,Draw
1994-01-09,Mauritania,Africa,Mali,Africa,1,3,Frendly,Lose
1994-01-09,Mali,Africa,Mauritania,Africa,3,1,Frendly,Win
1994-01-11,Thailand,Asia,Nigeria,Africa,1,1,Frendly,Draw
1994-01-11,Nigeria,Africa,Thailand,Asia,1,1,Frendly,Draw
1994-01-15,USA,North America,Norway,Europe,2,1,Frendly,Win
1994-01-15,Norway,Europe,USA,North America,1,2,Frendly,Lose
1994-01-18,Guinea,Africa,Côte d'Ivoire,Africa,3,0,Frendly,Win
1994-01-18,Côte d'Ivoire,Africa,Guinea,Africa,0,3,Frendly,Lose
1994-01-19,Norway,Europe,Costa Rica,North America,0,0,Frendly,Draw
1994-01-19,Costa Rica,North America,Norway,Europe,0,0,Frendly,Draw
1994-01-19,Mexico,North America,Bulgaria,Europe,1,1,Frendly,Draw
1994-01-19,Bulgaria,Europe,Mexico,North America,1,1,Frendly,Draw
1994-01-19,Spain,Europe,Portugal,Europe,2,2,Frendly,Draw
1994-01-19,Portugal,Europe,Spain,Europe,2,2,Frendly,Draw
1994-01-19,Tunisia,Africa,Netherlands,Europe,2,2,Frendly,Draw
1994-01-19,Netherlands,Europe,Tunisia,Africa,2,2,Frendly,Draw
1994-01-22,Switzerland,Europe,USA,North America,1,1,Frendly,Draw
1994-01-22,USA,North America,Switzerland,Europe,1,1,Frendly,Draw
1994-01-23,Barbados,North America,Puerto Rico,North America,0,1,Others,Lose
1994-01-23,Puerto Rico,North America,Barbados,North America,1,0,Others,Win
1994-01-23,Mali,Africa,Senegal,Africa,1,0,Frendly,Win
1994-01-23,Senegal,Africa,Mali,Africa,0,1,Frendly,Lose
1994-01-23,China PR,Asia,Saudi Arabia,Asia,0,1,Frendly,Lose
1994-01-23,Saudi Arabia,Asia,China PR,Asia,1,0,Frendly,Win
1994-01-23,Guyana,South America,Suriname,South America,0,2,Others,Lose
1994-01-23,Suriname,South America,Guyana,South America,2,0,Others,Win
1994-01-25,Puerto Rico,North America,Grenada,North America,0,1,Others,Lose
1994-01-25,Grenada,North America,Puerto Rico,North America,1,0,Others,Win
1994-01-25,Finland,Europe,Qatar,Asia,0,1,Frendly,Lose
1994-01-25,Qatar,Asia,Finland,Europe,1,0,Frendly,Win
1994-01-26,Switzerland,Europe,Mexico,North America,5,1,Frendly,Win
1994-01-26,Mexico,North America,Switzerland,Europe,1,5,Frendly,Lose
