Date,Open,High,Low,Close,Volume,Change
2018-01-02,28100,29504,28000,29405,1345951,0.06935049821805217
2018-01-03,30205,30306,29203,29906,1154361,0.01703791872130589
2018-01-04,30608,31911,30006,31311,2265019,0.04698053902226973
2018-01-05,31510,31711,30507,31311,1067202,0.0
2018-01-08,32215,32616,31713,32014,1577403,0.022452173357605965
2018-01-09,31711,32112,31009,31512,1010891,-0.015680639720122458
2018-01-10,31311,31813,29706,30007,1656798,-0.04775958365067279
2018-01-11,28499,29403,27697,28200,2474827,-0.06021928216749428
2018-01-12,29202,29202,27898,28200,1377402,0.0
2018-01-15,28400,29603,28400,29103,1265024,0.03202127659574461
2018-01-16,29001,29101,28099,28200,1117873,-0.03102772910009277
2018-01-17,27899,27899,26695,26896,2415858,-0.04624113475177305
2018-01-18,26996,27799,26896,27197,1965579,0.011191255205234896
2018-01-19,27296,27897,26895,27698,1132433,0.018421149391476987
2018-01-22,27698,27899,27096,27197,815041,-0.018087948588345726
2018-01-23,27196,27696,27095,27397,965243,0.007353752252086565
2018-01-24,27395,27696,26995,27096,760888,-0.01098660437274157
2018-01-25,27095,27596,26995,27096,649676,0.0
2018-01-26,27297,28301,27096,28100,1271640,0.037053439622084516
2018-01-29,28299,28399,27798,27899,708612,-0.00715302491103198
2018-01-30,27899,28200,27598,27799,642199,-0.003584357862288945
2018-01-31,27598,28100,27096,28100,943362,0.01082772761610129
2018-02-01,28100,28501,27598,28401,910082,0.010711743772241933
2018-02-02,28500,29101,28400,28802,2099421,0.014119221154184736
2018-02-05,28000,28100,26996,26996,1624472,-0.06270397889035484
2018-02-06,25389,26292,25088,26293,2291759,-0.026040894947399584
2018-02-07,26894,26994,25389,25390,1043100,-0.03434374168029508
2018-02-08,25489,26091,24988,25390,1044087,0.0
2018-02-09,24385,24987,23482,23684,2074927,-0.06719180779834577
2018-02-12,23883,24084,23382,23684,817489,0.0
2018-02-13,24085,24286,23784,23885,721603,0.008486742104374168
2018-02-14,23984,25087,23884,24587,858572,0.029390831065522205
2018-02-19,25288,25288,24687,24888,419351,0.012242241835116019
2018-02-20,24888,24989,24387,24688,288935,-0.008036001285760208
2018-02-21,24788,25189,24487,24989,396493,0.012192158133506048
2018-02-22,24987,25087,24486,24788,306321,-0.008043539157229218
2018-02-23,24787,24886,24486,24788,383787,0.0
2018-02-26,24989,24989,24587,24688,303789,-0.00403421010166205
2018-02-27,24887,26292,24887,26293,1272000,0.06501134154244981
2018-02-28,26091,26592,25490,25691,857397,-0.022895827786863387
2018-03-02,25390,25792,24989,25591,474394,-0.00389241368572657
2018-03-05,25591,25691,24688,24688,417227,-0.03528584267906687
2018-03-06,25289,26894,25289,26594,1167882,0.07720349967595586
2018-03-07,26693,26793,25891,25992,596902,-0.022636684966533815
2018-03-08,25991,26493,25791,26494,499256,0.019313634964604587
2018-03-09,26695,27197,26293,26896,753680,0.015173246772854254
2018-03-12,27295,27395,26995,27096,384411,0.007436049970255709
